Name,Birthdate,Party
Rohitha Abeygunawardena,1966-09-21,SLPP
Ashoka Abeysinghe,unknown,SJB
Rajika Wickramasinghe,1973-08-05,SLPP
Udayakantha Gunathilaka,1965-05-03,SLPP
Mahinda Yapa Abeywardena,1945-10-10,SLPP
Basil Rajapaksa,1951-04-27,SLPP
Dhammika Perera,1967-12-28,SLPP
Selvam Adaikalanathan,1962-06-10,TELO
Lasantha Alagiyawanna,1967-10-19,SLFP
Dullas Alahapperuma,1959-05-14,FPC
J. C. Alawathuwala,unknown,SJB
Harini Amarasuriya,1970-03-06,JVP
Amarakeerthi Athukorala,1964-12-23,SLPP
Rohana Dissanayake,1958-03-09,SLPP
Mahindananda Aluthgamage,1964-11-21,SLPP
Sudath Manjula,1972-12-10,SLPP
Gunapala Rathnasekara,1961-12-07,FPC
Tissa Attanayake,1961-05-17,SJB
Mahinda Amaraweera,1962-02-12,SLFP
Dilum Amunugama,unknown,SLPP
Nalaka Kottegoda,1979-09-14,SLPP
Kapila Nuwan Athukorala,unknown,SLPP
Indika Anuruddha,unknown,SLPP
Hector Appuhamy,unknown,SJB
A. Aravind Kumar,1954-11-17,UCPF
Thalatha Atukorale,1963-05-30,SJB
Risad Badhiutheen,1972-11-27,ACMC
Tharaka Balasuriya,1974-04-16,SLPP
Nalin Bandara,1974-06-05,SJB
R. M. Ranjith Madduma Bandara,1954-08-25,SJB
Rohana Bandara,1977-09-26,SJB
Shantha Bandara,unknown,SLPP
Sumith Udukumbura,1975-01-15,SLPP
Vijitha Berugoda,unknown,SLPP
D. V. Chanaka,1987-09-11,SLPP
S. M. Chandrasena,1955-05-03,SLPP
Chamara Sampath Dassanayake,1971-08-31,SLFP
W. H. M. Dharmasena,1955-07-07,SJB
Piyal Nishantha de Silva,1970-06-30,SLPP
Harsha de Silva,1964-08-30,SJB
Nimal Siripala de Silva,1944-09-06,SLFP
Akila Ellawala,1976-01-06,SLPP
Douglas Devananda,1957-11-10,EPDP
Palani Digambaran,1967-01-10,NUW
Anura Kumara Dissanayake,1968-11-24,JVP
Duminda Dissanayake,1979-03-28,SLFP
Mayantha Dissanayake,1974-01-11,SJB
Kulasingam Thileepan,1979-05-22,EPDP
Sanjeeva Edirimanna,unknown,SLPP
S. B. Dissanayake,1951-09-18,SLPP
Wimalaweera Dissanayake,unknown,SLPP
Marjan Faleel,1962-06-10,SLPP
Cassim Faizal,1957-09-04,SLMC
Arundika Fernando,unknown,SLPP
Harin Fernando,1978-10-28,UNP
Johnston Fernando,1964-12-05,SLPP
Sudarshani Fernandopulle,1960-10-29,Ind
Sarath Fonseka,1950-12-18,SJB
Lalith Ellawala,unknown,FPC
Anupa Pasqual,1964-06-17,SLPP
Nalin Fernando,1973-05-08,SLPP
Diana Gamage,unknown,SJB
Jagath Pushpakumara,1963-04-03,SLFP
A. L. M. Athaullah,1957-10-06,NC
Pramitha Tennakoon,1978-09-11,SLPP
Siripala Gamalath,1952-07-18,SLPP
Udaya Gammanpila,1970-02-06,Unknown
Mano Ganesan,1959-12-17,DPF
Upul Galappaththi,1979-02-07,FPC
Nalaka Godahewa,1965-06-07,FPC
Sudarshana Denipitiya,unknown,SLPP
Kokila Gunawardena,1974-04-28,SLPP
Yadamini Gunawardena,unknown,MEP
Bandula Gunawardena,1953-03-15,SLPP
Dinesh Gunawardena,1949-03-02,MEP
Rauff Hakeem,1960-04-13,SLMC
M. H. A. Haleem,1956-08-29,SJB
H. M. M. Harees,1971-09-06,SLMC
Kabir Hashim,1959-05-19,SJB
Kanaka Herath,1976-04-27,SLPP
Vijitha Herath,1968-05-01,JVP
Charitha Herath,1967-09-09,FPC
Sivanesathurai Chandrakanthan,1975-08-18,TMVP
Thushara Indunil,1968-07-20,SJB
Ishak Rahuman,unknown,ACMC
Sisira Jayakody,1965-03-11,SLPP
Samanpriya Herath,1976-11-03,SLPP
D. B. Herath,1956-05-23,SLPP
Anuradha Jayaratne,1985-12-22,SLPP
Piyankara Jayaratne,1964-09-27,Ind
Dayasiri Jayasekara,1969-06-12,SLFP
Premalal Jayasekara,1974-11-16,SLPP
K. P. S. Kumarasiri,unknown,FPC
Channa Jayasumana,1980-01-08,FPC
K. H. Nandasena,1954-09-20,SLPP
Milan Jayathilaka,1981-08-01,SLPP
Jayarathna Herath,unknown,Ind
Kavinda Jayawardena,unknown,SJB
S. Kajendran,1974-10-29,ACTC
Rohini Kumari Wijerathna,unknown,SJB
Sagara Kariyawasam,1967-11-13,SLPP
Gayantha Karunatileka,unknown,SJB
Lakshman Kiriella,1948-02-02,SJB
Muszhaaraff Muthunabeen,1983-06-10,ACMC
Jagath Kumara,unknown,SLPP
Geetha Kumarasinghe,1955-07-05,SLPP
Asanka Navarathna,1981-01-09,SLMP
Nimal Lanza,unknown,SLPP
Gamini Lokuge,1943-05-08,SLPP
Imran Maharoof,1983-09-17,SJB
Karunadasa Kodithuwakku,1961-06-15,SLPP
Wasantha Yapa Bandara,unknown,FPC
Udayana Kirindigoda,unknown,FPC
Gayashan Nawananda,1990-03-25,SLPP
Gunathilaka Rajapaksha,1957-11-08,SLPP
Ajith Mannapperuma,unknown,SJB
S. M. Marikkar,1977-01-12,SJB
K. Kader Masthan,unknown,SLFP
Imthiaz Bakeer Markar,1953-08-08,SJB
Dushmantha Mithrapala,unknown,SLPP
Mohamed Mussammil,unknown,NFF
Chinthaka Mayadunne,1975-10-11,SLPP
Vajira Abeywardena,1960-09-02,UNP
Manusha Nanayakkara,1977-09-24,UNP
Vasudeva Nanayakkara,1939-01-03,DLF
Kins Nelson,1973-10-29,SJB
Ahamed Nazeer Zainulabdeen,1961-04-16,SLMC
Charles Nirmalanathan,1975-11-24,ITAK
Sanath Nishantha,1975-05-03,SLPP
Vino Noharathalingam,1963-06-07,TELO
Buddhika Pathirana,1974-03-17,SJB
Ramesh Pathirana,1969-05-12,SLPP
G. L. Peiris,1946-08-13,FPC
Muditha Prishanthi,1968-10-12,SLPP
Dilan Perera,1962-04-19,FPC
Nipuna Ranawaka,1990-11-01,SLPP
Nimal Piyatissa,1968-01-05,NFF
Niroshan Perera,unknown,SJB
Sujith Sanjaya Perera,unknown,SJB
Gajendrakumar Ponnambalam,1974-01-16,ACTC
Premnath C. Dolawaththa,unknown,SLPP
Pradeep Undugoda,1971-06-29,SLPP
Sajith Premadasa,1967-01-12,SJB
Susil Premajayantha,1955-01-10,SLPP
Uddika Premarathna,1980-09-16,NFF
Ashoka Priyantha,unknown,SLPP
Weerasumana Weerasinghe,1975-11-17,CPSL
Velusami Radhakrishnan,1952-08-01,UCPF
Mujibur Rahman,1968-04-17,SJB
Harshana Rajakaruna,unknown,SJB
Chamal Rajapaksa,1942-10-30,SLPP
Mahinda Rajapaksa,1945-11-18,SLPP
Namal Rajapaksa,1986-04-10,SLPP
Wijeyadasa Rajapakshe,1959-03-16,SLFP
Angajan Ramanathan,1983-07-09,SLFP
Ranjan Ramanayake,1963-03-11,SJB
Keheliya Rambukwella,1954-09-21,SLPP
Roshan Ranasinghe,1975-10-24,SLPP
Thilak Rajapaksha,1971-05-02,FPC
Prasanna Ranatunga,1967-01-01,SLPP
Champika Ranawaka,1965-08-04,Unknown
Prasanna Ranaweera,unknown,SLPP
Kumarasiri Rathnayake,1967-01-15,SLPP
Suren Raghavan,unknown,SLFP
C. B. Ratnayake,1958-01-21,SLPP
Ajith Nivard Cabraal,1954-12-14,SLPP
Jayantha Ketagoda,unknown,SLPP
Jayantha Ketagoda,unknown,SLPP
Lohan Ratwatte,1968-06-22,SLPP
Isuru Dodangoda,unknown,SLPP
Mahinda Samarasinghe,1956-01-30,SLFP
Shasheendra Rajapaksa,1976-06-28,SLPP
Ali Sabry,1970-05-01,SLPP
Tiran Alles,1960-06-03,SLPP
Jayantha Samaraweera,1968-12-20,NFF
Ali Sabri Raheem,1963-01-05,ACMC
R. Sampanthan,1933-02-05,ITAK
Chaminda Sampath,unknown,SLPP
Asanka Shehan Semasinghe,1976-11-13,SLPP
Janaka Thissakuttiarachchi,1980-02-01,SLPP
Ajith Rajapakse,1974-01-06,SLPP
Rajitha Senaratne,1950-05-29,Unknown
Seetha Arambepola,1974-09-11,SLPP
Chandima Weerakkody,1968-05-23,Ind
John Senewiratne,1941-01-15,Ind
Upul Mahendra,1971-09-25,SLPP
D. Siddarthan,1948-09-10,PLOTE
Mohan Silva,1966-12-23,SLPP
G. Karunakaran,1963-10-01,TELO
M. Rameshwaran,1976-12-26,CWC
T. Kalaiarasan,1970-04-16,ITAK
Ranjith Siyambalapitiya,1961-05-01,SLFP
Shan Wijayalal De Silva,unknown,SJB
S. Sritharan,1968-12-08,ITAK
M. A. Sumanthiran,1964-02-09,ITAK
Sahan Pradeep Withana,unknown,SLPP
Vadivel Suresh,unknown,SJB
Maithripala Sirisena,1951-09-03,SLFP
Janaka Bandara Tennakoon,1953-04-13,SLPP
Athuraliye Rathana Thero,1962-10-05,OPPP
M. Udayakumar,1967-09-28,NUW
Jeewan Thondaman,1994-11-09,CWC
M. S. Thowfeek,1971-01-07,SLMC
Ranil Wickremesinghe,1949-03-24,UNP
M. Velu Kumar,1973-01-16,DPF
Thenuka Vidanagamage,1973-03-23,SLPP
Tissa Vitharana,1934-08-30,LSSP
S. Viyalendiran,1978-11-15,SLPP
Janaka Wakkumbura,1967-12-15,SLPP
Pavithra Devi Wanniarachchi,1964-11-10,SLPP
Dilip Wedaarachchi,1957-02-05,SJB
D. Weerasingha,1979-04-15,SLPP
Wimal Weerawansa,1970-03-07,NFF
Kumara Welgama,1950-04-05,NLFP
Eran Wickramaratne,unknown,SJB
C. V. Vigneswaran,1939-10-23,TPA
Vidura Wickremenayake,1959-07-11,SLPP
Jayantha Weerasinghe,1950-09-13,SLPP
Sarath Weerasekara,1951-10-29,SLPP
Madhura Withanage,unknown,SLPP
Priyantha Liyanage,unknown,SJB
Gamini Waleboda,1967-10-28,NFF
Kanchana Wijesekera,1982-04-27,SLPP
Chaminda Wijesiri,1980-08-04,SJB
Manjula Dissanayake,1967-01-27,SLPP
Ranjith Bandara,1961-11-04,SLPP
Gevindu Kumaratunga,1964-12-10,SLPP
Ankumbura Withanage,unknown,SJB
Anura Priyadharshana Yapa,1959-01-18,Ind
Rahul Rajapuththiran,1990-09-20,ITAK
Lalith Varna Kumara,1974-10-07,SLPP
Jagath Samarawickrama,unknown,SLPP
A. H. M. Fowzie,1937-10-13,SJB
Seyed Ali Zahir Moulana,1956-06-25,SLMC
Nayana Wasalathilake,unknown,SJB
Jagath Priyankara,1979-12-09,NFF
Sarath Chandrasiri Muthukumarana,1953-02-24,SLPP
M. G. Weerasena,unknown,SLPP
Mujibur Rahman,1968-04-17,SJB
